rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B4,3,100,lam=100,False,C_context,20,0.22846526622405633,0.051086386577457663
B4,3,100,lam=100,False,X_prior_composite,9,0.12162329587502488,0.040541098625008293
B4,3,300,lam=300,False,phase1_backbone,88,0.27110263895730319,0.028899638415796729
B4,3,300,lam=300,False,C_context,20,0.14279026335632042,0.031928873538982973
B4,3,300,lam=300,False,X_prior_composite,9,0.068715445063828998,0.022905148354609665
B4,3,1000,lam=1000,True,phase1_backbone,88,0.17485426878918586,0.018639527681845441
B4,3,1000,lam=1000,True,C_context,20,0.067282264766337876,0.015044771769767049
B4,3,1000,lam=1000,True,X_prior_composite,9,0.040100709655402932,0.013366903218467644
B4,3,3000,lam=3000,False,phase1_backbone,88,0.11819252595415294,0.012599365600652243
B4,3,3000,lam=3000,False,C_context,20,0.028425632510465055,0.0063561646596827859
B4,3,3000,lam=3000,False,X_prior_composite,9,0.027275087874155876,0.0090916959580519593
B4,3,10000,lam=10000,False,phase1_backbone,88,0.066477896082698912,0.0070865675333226181
B4,3,10000,lam=10000,False,C_context,20,0.0098146919552767938,0.0021946318390219234
B4,3,10000,lam=10000,False,X_prior_composite,9,0.016394685504359425,0.005464895168119808
B4,4,100,lam=100,False,phase1_backbone,88,0.43151572373136521,0.045999730709118371
B4,4,100,lam=100,False,C_context,20,0.20917459902373561,0.046772862258333395
B4,4,100,lam=100,False,X_prior_composite,9,0.16923605428562047,0.056412018095206823
B4,4,300,lam=300,False,phase1_backbone,88,0.28955345095654006,0.030866501583586725
B4,4,300,lam=300,False,C_context,20,0.14089954752373612,0.031506096626203614
B4,4,300,lam=300,False,X_prior_composite,9,0.094078490994936106,0.031359496998312038
B4,4,1000,lam=1000,True,phase1_backbone,88,0.19147295063769856,0.020411085119339884
B4,4,1000,lam=1000,True,C_context,20,0.071869619263108725,0.016070535418933943
B4,4,1000,lam=1000,True,X_prior_composite,9,0.04996215664207547,0.016654052214025158
B4,4,3000,lam=3000,False,phase1_backbone,88,0.13192551058768362,0.014063306681436908
B4,4,3000,lam=3000,False,C_context,20,0.031833281743739186,0.0071181381925903859
B4,4,3000,lam=3000,False,X_prior_composite,9,0.031126549511062786,0.010375516503687595
B4,4,10000,lam=10000,False,phase1_backbone,88,0.078047359608681199,0.0083198764891173824
B4,4,10000,lam=10000,False,C_context,20,0.011156977793716008,0.0024947760770204618
B4,4,10000,lam=10000,False,X_prior_composite,9,0.018907754972902088,0.0063025849909673628
B5,1,100,lam=100,False,phase1_backbone,88,0.38266412866532357,0.040792133177521228
B5,1,100,lam=100,False,C_context,20,0.26379012957614945,0.058985266152574795
B5,1,100,lam=100,False,X_prior_composite,18,0,0
B5,1,300,lam=300,False,phase1_backbone,88,0.22759595111791209,0.024261809908987676
B5,1,300,lam=300,False,C_context,20,0.14451298962254866,0.032314086842774044
B5,1,300,lam=300,False,X_prior_composite,18,0,0
B5,1,1000,lam=1000,False,phase1_backbone,88,0.13214942814960792,0.014087176373740339
B5,1,1000,lam=1000,False,C_context,20,0.060356173799577841,0.013496050747764781
B5,1,1000,lam=1000,False,X_prior_composite,18,0,0
B5,1,3000,lam=3000,True,phase1_backbone,88,0.073607044860032,0.007846537346489187
B5,1,3000,lam=3000,True,C_context,20,0.023337006971868707,0.0052183133980484948
B5,1,3000,lam=3000,True,X_prior_composite,18,0,0
B5,1,10000,lam=10000,False,phase1_backbone,88,0.030778625481895631,0.003281012500590597
B5,1,10000,lam=10000,False,C_context,20,0.0074664106148662306,0.0016695401682766892
B5,1,10000,lam=10000,False,X_prior_composite,18,0,0
B5,2,100,lam=100,False,phase1_backbone,88,0.40585417505396404,0.043264200428710223
B5,2,100,lam=100,False,C_context,20,0.24797506449314322,0.055448910093156265
B5,2,100,lam=100,False,X_prior_composite,18,0.20697031318949341,0.048783370653531444
B5,2,300,lam=300,False,phase1_backbone,88,0.25390636351490953,0.027066509294313368
B5,2,300,lam=300,False,C_context,20,0.14711635512483717,0.032896217066113544
B5,2,300,lam=300,False,X_prior_composite,18,0.10038517433522216,0.023661012501009791
B5,2,1000,lam=1000,True,phase1_backbone,88,0.15572447160730588,0.016600284450388265
B5,2,1000,lam=1000,True,C_context,20,0.065512173803747992,0.014648967397896147
B5,2,1000,lam=1000,True,X_prior_composite,18,0.043384087863638572,0.010225727574657279
