rung,fold,test_season,lambda,lambda_label,is_selected,is_frozen_lambda,design_columns,train_matches,test_matches,newton_iterations,gradient_norm,constant_columns,coef_l2_norm,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap
B1,1,2022-2023,10000,lam=10000,False,False,88,380,380,5,7.815970093361102e-14,29,0.030789913512467491,0.49473684210526314,0.34805876878074721,0.25326595765516974,1.033640415703126,0.62066261106966125,0.22222242887180887,1.040875718087485,-0.0072353023843589881
B1,2,2023-2024,100,lam=100,False,False,88,760,380,6,2.8421709430404007e-14,4,0.41863917573478726,0.56315789473684208,0.46051103368176544,0.41615130900845188,0.96799470988445513,0.57394718514670706,0.19946429452211351,0.9482522028643966,0.019742507020058531
B1,2,2023-2024,300,lam=300,True,False,88,760,380,6,2.5757174171303632e-14,4,0.26014833737674331,0.55789473684210522,0.45670150987224156,0.41165260175702495,0.96041741636366496,0.56858891215124785,0.198265159319682,0.96006943181676296,0.00034798454690199154
B1,2,2023-2024,1000,lam=1000,False,False,88,760,380,5,3.8219649667325939e-11,4,0.15958468816376994,0.5736842105263158,0.46677506775067751,0.41383035154554665,0.96192435421216493,0.56901785382780989,0.1994766292138806,0.97456603460994351,-0.012641680397778576
B1,2,2023-2024,3000,lam=3000,False,False,88,760,380,5,1.2789769243681803e-13,4,0.1009878805728614,0.57894736842105265,0.46655826558265584,0.41476719071776585,0.97514152375201202,0.57802592616278481,0.20431490208336942,0.99170412931991037,-0.016562605567898347
B1,2,2023-2024,10000,lam=10000,False,False,88,760,380,5,1.9895196601282805e-13,4,0.050497136944446977,0.52631578947368418,0.40591560201316296,0.34455007530120479,1.0041655234223283,0.59930736966535858,0.21497883773545001,1.0182220777291793,-0.014056554306850932
B1,3,2024-2025,100,lam=100,False,False,88,1140,380,6,3.6415315207705135e-14,4,0.41751161906474171,0.49473684210526314,0.42753339850114047,0.36583789537712891,1.0110872570089848,0.60605280407001105,0.20878966826336315,0.94661129071907069,0.064475966289914144
B1,3,2024-2025,300,lam=300,True,False,88,1140,380,6,3.9968028886505635e-14,4,0.2776705761999736,0.50526315789473686,0.43688497882046268,0.37401363380780001,1.0039641852174856,0.6012756526700257,0.20700988933629375,0.95381511414750786,0.050149071069977791
B1,3,2024-2025,1000,lam=1000,False,False,88,1140,380,5,4.7353676535522027e-10,4,0.18057865631915207,0.50526315789473686,0.43613554903877488,0.3727126335821988,1.001736754926039,0.59919625208911331,0.20658407426386546,0.96414415661041653,0.03759259831562245
B1,3,2024-2025,3000,lam=3000,False,False,88,1140,380,5,1.2949641359227826e-12,4,0.12231061566889689,0.49473684210526314,0.42565982404692088,0.36191414170673775,1.0088330058654231,0.60318076836050183,0.20888987285896968,0.97743992374851008,0.031393082116913051
