match_id,home_sot_residual_last5,away_sot_residual_last5,rel_sot_residual_diff,home_sot_residual_available,away_sot_residual_available,rel_sot_residual_available,home_match_number,away_match_number
1284,2,0.60000000000000009,1.3999999999999999,True,True,True,15,15
1285,-1.2,1.3999999999999999,-2.5999999999999996,True,True,True,15,15
1286,-0.39999999999999991,-0.20000000000000001,-0.1999999999999999,True,True,True,15,15
1287,-0.59999999999999998,2,-2.6000000000000001,True,True,True,15,15
1288,2,-0.20000000000000001,2.2000000000000002,True,True,True,15,15
1289,1.3999999999999999,0.80000000000000004,0.59999999999999987,True,True,True,16,15
1290,2,-0.20000000000000001,2.2000000000000002,True,True,True,15,16
1291,-1.3999999999999999,-2,0.60000000000000009,True,True,True,16,16
1292,-2,1.6000000000000001,-3.6000000000000001,True,True,True,16,16
1293,0.40000000000000002,-0.40000000000000002,0.80000000000000004,True,True,True,16,16
1294,1,0.80000000000000004,0.19999999999999996,True,True,True,16,16
1295,2.6000000000000005,-1,3.6000000000000005,True,True,True,16,16
1296,0.80000000000000004,-1,1.8,True,True,True,16,16
1297,-3.8000000000000003,-1.3999999999999999,-2.4000000000000004,True,True,True,16,16
1298,1.2000000000000002,1.7999999999999998,-0.59999999999999964,True,True,True,16,16
1299,1.2,0.40000000000000002,0.79999999999999993,True,True,True,17,17
1300,-2,-1.2000000000000002,-0.79999999999999982,True,True,True,17,17
1301,0.40000000000000002,2.3999999999999999,-2,True,True,True,17,17
1302,-0.19999999999999996,-0.40000000000000002,0.20000000000000007,True,True,True,17,17
1303,0.20000000000000001,2,-1.8,True,True,True,17,17
1304,-1,3.2000000000000002,-4.2000000000000002,True,True,True,16,17
1305,-0.39999999999999997,-3.5999999999999996,3.1999999999999997,True,True,True,17,17
1306,-4.2000000000000002,0.40000000000000002,-4.6000000000000005,True,True,True,17,17
1307,-0.20000000000000001,2.7999999999999998,-3,True,True,True,17,17
1308,-1.7999999999999998,1.7999999999999998,-3.5999999999999996,True,True,True,17,16
1309,1.3999999999999999,1,0.39999999999999991,True,True,True,18,18
1310,2.4000000000000004,0.19999999999999996,2.2000000000000002,True,True,True,18,18
1311,2.4000000000000004,-2.3999999999999999,4.8000000000000007,True,True,True,17,18
1312,0.20000000000000001,-0.80000000000000004,1,True,True,True,18,17
1313,0.19999999999999996,1.2,-1,True,True,True,18,18
1314,-0.20000000000000001,-2.2000000000000002,2,True,True,True,18,18
1315,-3.4000000000000004,-0.59999999999999987,-2.8000000000000007,True,True,True,18,18
1316,-0.19999999999999996,1.2,-1.3999999999999999,True,True,True,18,18
1317,0.80000000000000004,-0.80000000000000004,1.6000000000000001,True,True,True,18,18
1318,2.7999999999999998,-1.6000000000000001,4.4000000000000004,True,True,True,18,18
1319,0.20000000000000001,-2,2.2000000000000002,True,True,True,19,19
1320,-1.8,-0.80000000000000004,-1,True,True,True,18,19
1321,-0.80000000000000004,0.80000000000000004,-1.6000000000000001,True,True,True,19,19
1322,-3.1999999999999997,1.2,-4.3999999999999995,True,True,True,19,19
1323,-1.2,0,-1.2,True,True,True,19,19
1324,-1.6000000000000001,2.2000000000000002,-3.8000000000000003,True,True,True,19,18
1325,0.59999999999999998,3,-2.3999999999999999,True,True,True,19,19
