rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B3,1,10,lam=10,False,C_context,20,0.53905646000639507,0.1205366888284696
B3,1,10,lam=10,False,X_prior_composite,6,0,0
B3,1,30,lam=30,False,phase1_backbone,88,0.66148098143829881,0.070514109549128776
B3,1,30,lam=30,False,C_context,20,0.41390259173224137,0.092551433117663409
B3,1,30,lam=30,False,X_prior_composite,6,0,0
B3,1,100,lam=100,True,phase1_backbone,88,0.38266412866532351,0.040792133177521228
B3,1,100,lam=100,True,C_context,20,0.26379012957614945,0.058985266152574795
B3,1,100,lam=100,True,X_prior_composite,6,0,0
B3,2,0.01,lam=0.01,False,phase1_backbone,88,4.3879685404358373,0.46775901808340142
B3,2,0.01,lam=0.01,False,C_context,20,0.851357189825387,0.19036925495827575
B3,2,0.01,lam=0.01,False,X_prior_composite,6,2.4910169596609357,1.0169534152980668
B3,2,0.029999999999999999,lam=0.03,False,phase1_backbone,88,4.2548476607125654,0.4535682846239561
B3,2,0.029999999999999999,lam=0.03,False,C_context,20,0.83814791310137471,0.18741557088942604
B3,2,0.029999999999999999,lam=0.03,False,X_prior_composite,6,2.4416554509086654,0.99680166373523538
B3,2,0.10000000000000001,lam=0.1,False,phase1_backbone,88,3.8964661466042974,0.4153646868557106
B3,2,0.10000000000000001,lam=0.1,False,C_context,20,0.80179147364802816,0.17928602388567222
B3,2,0.10000000000000001,lam=0.1,False,X_prior_composite,6,2.28751097078537,0.93387244324045904
B3,2,0.29999999999999999,lam=0.3,False,phase1_backbone,88,3.307966152192801,0.3526303766638087
B3,2,0.29999999999999999,lam=0.3,False,C_context,20,0.7373202431083502,0.16486981847769419
B3,2,0.29999999999999999,lam=0.3,False,X_prior_composite,6,1.9568102400488507,0.79886443526212481
B3,2,1,lam=1,False,phase1_backbone,88,2.4921943700549121,0.26566881249656327
B3,2,1,lam=1,False,C_context,20,0.63080936296793355,0.14105326164396378
B3,2,1,lam=1,False,X_prior_composite,6,1.3563827011873741,0.55374091897450228
B3,2,3,lam=3,False,phase1_backbone,88,1.7518868195515689,0.18675176245117325
B3,2,3,lam=3,False,C_context,20,0.52014029146815888,0.11630690495593571
B3,2,3,lam=3,False,X_prior_composite,6,0.80524358103699467,0.32873931536535222
B3,2,10,lam=10,False,phase1_backbone,88,1.0848679133131138,0.11564730813478608
B3,2,10,lam=10,False,C_context,20,0.42552235956858125,0.095149692194145569
B3,2,10,lam=10,False,X_prior_composite,6,0.4167803513618919,0.17014986594242054
B3,2,30,lam=30,False,phase1_backbone,88,0.6733181558253748,0.071775956578604222
B3,2,30,lam=30,False,C_context,20,0.35177141542937101,0.078658479744139198
B3,2,30,lam=30,False,X_prior_composite,6,0.2149538349283561,0.087754535638152789
B3,2,100,lam=100,True,phase1_backbone,88,0.40411578441205309,0.043078887363629574
B3,2,100,lam=100,True,C_context,20,0.24839469572728112,0.055542742489657709
B3,2,100,lam=100,True,X_prior_composite,6,0.094519758868205281,0.038587529973001362
B3,3,0.01,lam=0.01,False,phase1_backbone,88,9.569510289562194,1.0201132244535223
B3,3,0.01,lam=0.01,False,C_context,20,0.42339691986552663,0.094674429428334858
B3,3,0.01,lam=0.01,False,X_prior_composite,6,1.3713438137926783,0.55984876761905511
B3,3,0.029999999999999999,lam=0.03,False,phase1_backbone,88,8.1137503571182084,0.86492869423409602
