model,scope,class,bin,bin_lo,bin_hi,n,mean_predicted,observed_frequency,thin
D0,pooled,pooled,4,0.40000000000000002,0.5,1520,0.44720394736842106,0.44473684210526315,False
D0,pooled,pooled,5,0.5,0.59999999999999998,0,,,True
D0,pooled,pooled,6,0.59999999999999998,0.69999999999999996,0,,,True
D0,pooled,pooled,7,0.69999999999999996,0.80000000000000004,0,,,True
D0,pooled,pooled,8,0.80000000000000004,0.90000000000000002,0,,,True
D0,pooled,pooled,9,0.90000000000000002,1,0,,,True
D2_rescaled,pooled,H,0,0,0.10000000000000001,5,0.077658686158347895,0.20000000000000001,True
D2_rescaled,pooled,H,1,0.10000000000000001,0.20000000000000001,60,0.16721037225146779,0.10000000000000001,False
D2_rescaled,pooled,H,2,0.20000000000000001,0.29999999999999999,186,0.25747814774854777,0.19354838709677419,False
D2_rescaled,pooled,H,3,0.29999999999999999,0.40000000000000002,321,0.35273123868607253,0.34267912772585668,False
D2_rescaled,pooled,H,4,0.40000000000000002,0.5,389,0.4507489151204237,0.46015424164524421,False
D2_rescaled,pooled,H,5,0.5,0.59999999999999998,268,0.54479090001258401,0.58582089552238803,False
D2_rescaled,pooled,H,6,0.59999999999999998,0.69999999999999996,187,0.64377051837675248,0.59893048128342241,False
D2_rescaled,pooled,H,7,0.69999999999999996,0.80000000000000004,85,0.74359464596833991,0.6705882352941176,False
D2_rescaled,pooled,H,8,0.80000000000000004,0.90000000000000002,19,0.83218865365538586,0.94736842105263153,True
D2_rescaled,pooled,H,9,0.90000000000000002,1,0,,,True
D2_rescaled,pooled,D,0,0,0.10000000000000001,2,0.081214701332812944,0,True
D2_rescaled,pooled,D,1,0.10000000000000001,0.20000000000000001,259,0.1704195690935604,0.24710424710424711,False
D2_rescaled,pooled,D,2,0.20000000000000001,0.29999999999999999,1241,0.23980828075626578,0.23932312651087834,False
D2_rescaled,pooled,D,3,0.29999999999999999,0.40000000000000002,18,0.31200251697861109,0.27777777777777779,True
D2_rescaled,pooled,D,4,0.40000000000000002,0.5,0,,,True
D2_rescaled,pooled,D,5,0.5,0.59999999999999998,0,,,True
D2_rescaled,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
D2_rescaled,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
D2_rescaled,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
D2_rescaled,pooled,D,9,0.90000000000000002,1,0,,,True
D2_rescaled,pooled,A,0,0,0.10000000000000001,63,0.07617810959274457,0.079365079365079361,False
D2_rescaled,pooled,A,1,0.10000000000000001,0.20000000000000001,276,0.15739260621804146,0.15579710144927536,False
D2_rescaled,pooled,A,2,0.20000000000000001,0.29999999999999999,395,0.25280793495701881,0.22278481012658227,False
D2_rescaled,pooled,A,3,0.29999999999999999,0.40000000000000002,391,0.34609665008769336,0.36061381074168797,False
D2_rescaled,pooled,A,4,0.40000000000000002,0.5,238,0.44747319847852313,0.44957983193277312,False
D2_rescaled,pooled,A,5,0.5,0.59999999999999998,113,0.54282852443128515,0.55752212389380529,False
D2_rescaled,pooled,A,6,0.59999999999999998,0.69999999999999996,35,0.63323185012002969,0.7142857142857143,False
D2_rescaled,pooled,A,7,0.69999999999999996,0.80000000000000004,8,0.74279582436419678,0.625,True
D2_rescaled,pooled,A,8,0.80000000000000004,0.90000000000000002,1,0.82846560362006949,1,True
D2_rescaled,pooled,A,9,0.90000000000000002,1,0,,,True
D2_rescaled,pooled,pooled,0,0,0.10000000000000001,70,0.076427767682861067,0.085714285714285715,False
D2_rescaled,pooled,pooled,1,0.10000000000000001,0.20000000000000001,595,0.16405319335546162,0.18991596638655461,False
D2_rescaled,pooled,pooled,2,0.20000000000000001,0.29999999999999999,1822,0.24443037662336889,0.23106476399560921,False
D2_rescaled,pooled,pooled,3,0.29999999999999999,0.40000000000000002,730,0.34817337412072924,0.35068493150684932,False
D2_rescaled,pooled,pooled,4,0.40000000000000002,0.5,627,0.4495055011479,0.45614035087719296,False
D2_rescaled,pooled,pooled,5,0.5,0.59999999999999998,381,0.54420888310789428,0.57742782152230976,False
D2_rescaled,pooled,pooled,6,0.59999999999999998,0.69999999999999996,222,0.64210901662456643,0.61711711711711714,False
D2_rescaled,pooled,pooled,7,0.69999999999999996,0.80000000000000004,93,0.74352593013142421,0.66666666666666663,False
D2_rescaled,pooled,pooled,8,0.80000000000000004,0.90000000000000002,20,0.83200250115362007,0.94999999999999996,False
