season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2025-2026,2026-01-01,Liverpool,Leeds United,D,1.5545271846690756,1.6448762293675989,1.4000245327784246,0.09034904469852334,-0.15450265189065093,-0.019813804883036884,0.64243356028991871,0.60-0.70,19,MW 7-19,away promoted,H,favourite did not
2024-2025,2025-01-18,Brentford,Liverpool,A,0.44044047916865248,0.47403456234071367,0.42747756797273356,0.033594083172061195,-0.012962911195918914,0.010678520065703065,0.64375279892521264,0.60-0.70,22,MW 20-31,neither promoted,A,favourite delivered
2025-2026,2025-11-23,Arsenal,Tottenham,H,0.44033660603798902,0.36547771384487943,0.40133103338810061,-0.074858892193109594,-0.039005572649888409,-0.019909932325337346,0.643819671016857,0.60-0.70,12,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2024-12-21,Crystal Palace,Arsenal,A,0.44033660603798902,0.63685298895388098,0.84214308962322104,0.19651638291589196,0.40180648358523202,0.055706719007938624,0.643819671016857,0.60-0.70,17,MW 7-19,neither promoted,A,favourite delivered
2022-2023,2023-05-28,Manchester Utd,Fulham,H,0.43627220828756552,0.65106576188395493,0.35514141670112603,0.21479355359638941,-0.081130791586439488,0.06964383889032022,0.64644173518571024,0.60-0.70,38,MW 32-38,away promoted,H,favourite delivered
2022-2023,2022-10-01,Liverpool,Brighton,D,1.6228532699016325,1.4940481266761931,1.3939039900225096,-0.12880514322543934,-0.22894927987912284,0.0016814643052232847,0.64644173518571024,0.60-0.70,9,MW 7-19,neither promoted,H,favourite did not
2024-2025,2025-04-07,Leicester City,Newcastle,A,0.43521751316031992,0.23814945717873509,0.65898992978782978,-0.19706805598158483,0.22377241662750985,-0.047436417252045379,0.64712389380530977,0.60-0.70,31,MW 20-31,home promoted,A,favourite delivered
2022-2023,2023-04-15,Tottenham,Bournemouth,A,1.9354561336294285,2.1546562891642074,1.6017223345698841,0.2192001555347789,-0.33373379905954437,0.080321064327597558,0.64712389380530977,0.60-0.70,31,MW 20-31,away promoted,H,favourite did not
2024-2025,2024-09-21,Tottenham,Brentford,H,0.43351252066332047,0.72520289307634167,0.51451700685914015,0.2916903724130212,0.08100448619581968,0.097173618054290367,0.64822817631806395,0.60-0.70,5,MW 1-6,neither promoted,H,favourite delivered
2024-2025,2025-02-12,Everton,Liverpool,D,1.5270945306817554,1.3359493178043635,1.4358951800255983,-0.19114521287739183,-0.09119935065615703,-0.033457254706268813,0.64850177048899726,0.60-0.70,15,MW 7-19,neither promoted,A,favourite did not
