fold,test_season,cutoff,window_matches,c_pooled,c_home,c_away,rho,goals_home_multiplier,sot_home_multiplier,goals_degenerate,sot_degenerate,goals_converged,sot_converged
2,2023-2024,2023-12-22,930,0.32970802178887965,0.33367344570736335,0.32466429848442629,0.1056058796741418,1.3153422579582084,1.2740905555690301,0,0,True,True
2,2023-2024,2023-12-23,931,0.32972218789115704,0.33328439144215505,0.32518364862301663,0.091496525138495793,1.3018794362769452,1.2675757368912066,0,0,True,True
2,2023-2024,2023-12-24,937,0.32815414082109834,0.33140003159288606,0.3240259811791581,0.098665029929451795,1.2990595559464857,1.2738560126022433,0,0,True,True
2,2023-2024,2023-12-26,938,0.32776810596403566,0.33141315333945626,0.32313417669328526,0.097605970026871991,1.3045246630062901,1.2754064612765459,0,0,True,True
2,2023-2024,2023-12-27,943,0.32918658859864192,0.33257983161765337,0.32492188589534682,0.10426170639700638,1.2973883855519484,1.2677128657309933,0,0,True,True
2,2023-2024,2023-12-28,946,0.3306931029936836,0.33332824180784987,0.32743145566371246,0.10457424990011922,1.2751778612224158,1.2520013857073253,0,0,True,True
2,2023-2024,2023-12-30,948,0.3309332162517406,0.33150090807502858,0.33022310075198752,0.10510610173811619,1.2681725031383007,1.2584326072022043,0,0,True,True
2,2023-2024,2023-12-31,954,0.33320106584185538,0.33657288414825659,0.32897888118673324,0.10228304056077828,1.2809032738067854,1.2522523566264054,0,0,True,True
2,2023-2024,2024-01-01,956,0.33399548979916616,0.33832025403584298,0.32857286986161988,0.10240493259676429,1.29250611220293,1.2573069869471929,0,0,True,True
2,2023-2024,2024-01-02,957,0.33398843030995634,0.33718197493227509,0.3299359607049398,0.098651302307419697,1.2956909557116938,1.2691603286598068,0,0,True,True
2,2023-2024,2024-01-12,958,0.33200916693293697,0.33646467234501565,0.32640392514601158,0.062285376324610509,1.2972361450421559,1.2632492073176029,0,0,True,True
2,2023-2024,2024-01-13,959,0.33076411096614988,0.33493877410764616,0.32550798205912113,0.04908877568328418,1.2965939749054682,1.2646279428105589,0,0,True,True
2,2023-2024,2024-01-14,961,0.3297633181688373,0.33529870022771474,0.32287814329636705,0.064944718111694458,1.2969264911322973,1.2542260742874762,0,0,True,True
2,2023-2024,2024-01-20,963,0.32917580020387277,0.33604002810867434,0.32072976368143286,0.045145176584772004,1.2993774514176466,1.2428282850812238,0,0,True,True
2,2023-2024,2024-01-21,965,0.33156382707748183,0.34101062210731742,0.31992454397826509,0.045565529328761664,1.3155707004584203,1.2393874505718498,0,0,True,True
2,2023-2024,2024-01-22,967,0.33264173984656381,0.34056427939682288,0.32296732184909122,0.045193856252928918,1.3040357905017315,1.2368528312778446,0,0,True,True
2,2023-2024,2024-01-30,968,0.33116258385740155,0.33899053218936032,0.32159995490039889,0.022341630608853628,1.3026952553457902,1.2332807621232262,0,0,True,True
2,2023-2024,2024-01-31,973,0.33166009887474168,0.33881059936312641,0.32288587156805248,0.0079232631394017226,1.3062546491726268,1.2451914237282582,0,0,True,True
2,2023-2024,2024-02-01,976,0.33361387319462388,0.34175273246041088,0.32352776243828713,0.0081482764652331726,1.3077548345516299,1.239366475786555,0,0,True,True
2,2023-2024,2024-02-03,978,0.33466771811056417,0.34242237429697014,0.32511124875920422,-0.0019837050684920442,1.2955358359750799,1.2352117699887031,0,0,True,True
2,2023-2024,2024-02-04,983,0.33791409786691728,0.34592329213635054,0.32824468234193249,-0.00075812332521156978,1.2781631471657371,1.2137660098882792,0,0,True,True
2,2023-2024,2024-02-05,987,0.33943312950791049,0.3482388910794873,0.32880821926434367,-0.015210513555550554,1.2824849065850912,1.2097727045595605,0,0,True,True
2,2023-2024,2024-02-10,988,0.33815548165407749,0.34818899041992446,0.32624978987070763,-0.014768900548838147,1.2778475307886223,1.1957595257223637,0,0,True,True
2,2023-2024,2024-02-11,995,0.33957370040878765,0.34793369729921425,0.32957485375172246,-0.011375328335257052,1.2562154747559118,1.1907974917598718,0,0,True,True
2,2023-2024,2024-02-12,997,0.33927127216059988,0.34482921667530403,0.33269120759099563,-0.0087738253934681078,1.2251225054889525,1.183368410473032,0,0,True,True
2,2023-2024,2024-02-17,998,0.33983533778054376,0.34441184649870649,0.33442861695654108,-0.0084928097697051716,1.2164667499169468,1.1806604462326189,0,0,True,True
2,2023-2024,2024-02-18,1005,0.33935938849890973,0.34109864406237678,0.33734100377998122,-0.01949523198361252,1.1816926051174907,1.1662227275138053,0,0,True,True
2,2023-2024,2024-02-19,1007,0.3392748446945163,0.34032420462609919,0.33807944777625909,-0.020287337965641139,1.1650057330478003,1.1554488591603314,0,0,True,True
