rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B1,4,1,10000,lam=10000,380,380,2022-05-22,2022-08-05,1.033640415703126,0.22222242887180887,0.49473684210526314,29
B1,4,2,10000,lam=10000,760,380,2023-05-28,2023-08-11,1.0041655234223283,0.21497883773545001,0.52631578947368418,4
B1,4,3,10000,lam=10000,1140,380,2024-05-19,2024-08-16,1.0299496433547048,0.21611639206878272,0.49473684210526314,4
B2,1,1,100,lam=100,97,93,2021-10-30,2021-10-31,1.387857637455727,0.30621087055719193,0.29032258064516131,33
B2,1,2,100,lam=100,190,95,2022-01-02,2022-01-03,1.1343808006907679,0.2478829653468185,0.50526315789473686,29
B2,1,3,100,lam=100,285,95,2022-03-18,2022-03-19,0.97262646564653088,0.20037555510113886,0.57894736842105265,29
B2,1,1,300,lam=300,97,93,2021-10-30,2021-10-31,1.2535544742207156,0.28040668049495032,0.25806451612903225,33
B2,1,2,300,lam=300,190,95,2022-01-02,2022-01-03,1.0445799074166386,0.22935340217635158,0.50526315789473686,29
B2,1,3,300,lam=300,285,95,2022-03-18,2022-03-19,0.962597813409373,0.19895565646683275,0.54736842105263162,29
B2,1,1,1000,lam=1000,97,93,2021-10-30,2021-10-31,1.1417048660509594,0.25146865901401089,0.25806451612903225,33
