arm,fold,team,parameter,refits,mean_abs_change,mean_level,relative_change
goals,2,Fulham,attack,120,0.019061534624436199,1.0443433544402265,0.018252172088224071
goals,2,Fulham,defence,120,0.021761828288245955,1.1907565394803334,0.018275631975738039
goals,2,Leeds United,attack,120,0.0048402311080636522,0.92671541208085229,0.0052229962348369369
goals,2,Leeds United,defence,120,0.01098972950255243,1.7238977850531583,0.0063749310416415144
goals,2,Leicester City,attack,120,0.0051964437561769477,0.97980713333031766,0.0053035373793559586
goals,2,Leicester City,defence,120,0.0087259646853551295,1.3456028060155876,0.0064847997093534946
goals,2,Liverpool,attack,120,0.017814440418638708,1.6135577513470858,0.011040472771282121
goals,2,Liverpool,defence,120,0.012031522491532037,0.83785733106154681,0.014359870165829262
goals,2,Manchester City,attack,120,0.023291059595376227,1.716338256884274,0.013570203601740639
goals,2,Manchester City,defence,120,0.013201270160258674,0.74153994369156673,0.017802507164401057
goals,2,Manchester Utd,attack,120,0.01651006171272805,1.0309931797858569,0.016013744839861389
goals,2,Manchester Utd,defence,120,0.017348516080094828,1.0081223532552137,0.017208740609784813
goals,2,Newcastle,attack,120,0.023470525604939712,1.5060255126744144,0.01558441434585031
goals,2,Newcastle,defence,120,0.019559318884660341,1.0587206380204273,0.018474485319594721
goals,2,Norwich City,attack,120,0.0024977193637594972,0.45560350013975054,0.0054822216312942146
goals,2,Norwich City,defence,120,0.010978698876275379,1.8093664430076908,0.0060677033768934078
goals,2,Nottingham,attack,120,0.014707216372547422,0.90972876764791666,0.016166594808881992
goals,2,Nottingham,defence,120,0.018462980199931367,1.3413874678689022,0.013764091764823174
goals,2,Southampton,attack,120,0.0042691905705718207,0.82428876100116011,0.0051792415140861203
goals,2,Southampton,defence,120,0.0096855577164051236,1.5841557400321369,0.0061140186356984311
goals,2,Tottenham,attack,120,0.018045294946165007,1.4716884596304374,0.012261626995904043
goals,2,Tottenham,defence,120,0.016665000126987586,1.2776699518928565,0.013043274675356134
goals,2,Watford,attack,120,0.0031609587301525484,0.56418657329738542,0.005602683367096707
goals,2,Watford,defence,120,0.011000220871540676,1.7123911821737097,0.0064238948355112378
goals,2,West Ham,attack,120,0.017255366883986597,1.1080990109306099,0.015572044297282693
goals,2,West Ham,defence,120,0.019043582963511715,1.3272423629043564,0.014348233220825872
goals,2,Wolves,attack,120,0.015410364268113048,0.91063300804138192,0.016922694578420942
goals,2,Wolves,defence,120,0.017916523003155355,1.2509681910207717,0.014322125160141549
sot,2,Arsenal,attack,120,0.011350372480390883,1.2886024440221642,0.0088082810435796861
